"Habilidad Verbal","Analogía: Raíz es a árbol como cimiento es a:","casa","puerta","ventana","techo","A","medio"
"Habilidad Verbal","Sinónimo de 'preciso':","exacto","confuso","lento","variable","A","medio"
"Habilidad Verbal","Antónimo de 'expandir':","ampliar","reducir","extender","propagar","B","medio"
"Habilidad Verbal","Palabra intrusa: océano, río, lago, montaña:","océano","río","lago","montaña","D","facil"
"Habilidad Verbal","Significado de 'ambiguo':","claro","dudoso","preciso","evidente","B","medio"
"Habilidad Matemática","Serie: 1, 4, 9, 16, ?","20","24","25","36","C","medio"
"Habilidad Matemática","Un tren recorre 150 km en 3 horas. ¿Velocidad?","30 km/h","40 km/h","50 km/h","60 km/h","C","medio"
"Español","¿Cuál es una oración compuesta?","María canta y Pedro baila","El sol brilla","Corre rápido","El perro","A","medio"
"Historia","¿Qué país fue colonizador de México?","Portugal","España","Francia","Inglaterra","B","facil"
"Geografía","Capital de Brasil:","Brasilia","Río de Janeiro","Sao Paulo","Lima","A","medio"
"Habilidad Verbal","Analogía: Raíz es a árbol como cimiento es a: (Variante 11)","casa","puerta","ventana","techo","A","medio"
"Habilidad Verbal","Sinónimo de 'preciso': (Variante 12)","exacto","confuso","lento","variable","A","medio"
"Habilidad Verbal","Antónimo de 'expandir': (Variante 13)","ampliar","reducir","extender","propagar","B","medio"
"Habilidad Verbal","Palabra intrusa: océano, río, lago, montaña: (Variante 14)","océano","río","lago","montaña","D","facil"
"Habilidad Verbal","Significado de 'ambiguo': (Variante 15)","claro","dudoso","preciso","evidente","B","medio"
"Habilidad Matemática","Serie: 1, 4, 9, 16, ? (Variante 16)","20","24","25","36","C","medio"
"Habilidad Matemática","Un tren recorre 150 km en 3 horas. ¿Velocidad? (Variante 17)","30 km/h","40 km/h","50 km/h","60 km/h","C","medio"
"Español","¿Cuál es una oración compuesta? (Variante 18)","María canta y Pedro baila","El sol brilla","Corre rápido","El perro","A","medio"
"Historia","¿Qué país fue colonizador de México? (Variante 19)","Portugal","España","Francia","Inglaterra","B","facil"
"Geografía","Capital de Brasil: (Variante 20)","Brasilia","Río de Janeiro","Sao Paulo","Lima","A","medio"
"Habilidad Verbal","Analogía: Raíz es a árbol como cimiento es a: (Variante 21)","casa","puerta","ventana","techo","A","medio"
"Habilidad Verbal","Sinónimo de 'preciso': (Variante 22)","exacto","confuso","lento","variable","A","medio"
"Habilidad Verbal","Antónimo de 'expandir': (Variante 23)","ampliar","reducir","extender","propagar","B","medio"
"Habilidad Verbal","Palabra intrusa: océano, río, lago, montaña: (Variante 24)","océano","río","lago","montaña","D","facil"
"Habilidad Verbal","Significado de 'ambiguo': (Variante 25)","claro","dudoso","preciso","evidente","B","medio"
"Habilidad Matemática","Serie: 1, 4, 9, 16, ? (Variante 26)","20","24","25","36","C","medio"
"Habilidad Matemática","Un tren recorre 150 km en 3 horas. ¿Velocidad? (Variante 27)","30 km/h","40 km/h","50 km/h","60 km/h","C","medio"
"Español","¿Cuál es una oración compuesta? (Variante 28)","María canta y Pedro baila","El sol brilla","Corre rápido","El perro","A","medio"
"Historia","¿Qué país fue colonizador de México? (Variante 29)","Portugal","España","Francia","Inglaterra","B","facil"
