Habilidad Matemática,Un tren viaja 60 km/h ¿cuánto recorre en 2 horas?,100km,110km,120km,140km,C,facil
Habilidad Matemática,Un número es el doble de 7 más 3:,17,14,21,11,A,medio
Habilidad Matemática,Un número es doble de 9 más 4:,22,20,18,24,A,medio
Habilidad Matemática,Un auto viaja 90 km/h ¿cuánto recorre en 2h?,180km,160km,150km,200km,A,facil
Habilidad Matemática,Si hoy es lunes ¿qué día será en 10 días?,jueves,viernes,sábado,domingo,A,medio
Habilidad Matemática,Si hoy es jueves ¿qué día será en 21 días?,jueves,viernes,sábado,domingo,A,medio
Habilidad Matemática,Si compras 5 cuadernos de $25 ¿cuánto pagas?,125,100,120,150,A,facil
Habilidad Matemática,Si compras 3 cuadernos de $20 cada uno ¿cuánto pagas?,60,80,50,70,A,facil
Habilidad Matemática,Si 6 personas hacen 6 tareas en 6 horas ¿cuántas hacen 12 tareas en 6 horas?,6,12,3,18,A,dificil
Habilidad Matemática,Si 5+5×5=?,50,30,25,10,B,medio
Habilidad Matemática,Si 5 personas hacen 5 tareas en 5 horas ¿cuántas personas hacen 10 tareas en 5 horas?,5,10,15,20,B,dificil
Habilidad Matemática,Si 2+2×2=?,8,6,4,10,B,medio
Habilidad Matemática,"Un número es triple de 8 más 1:",25,24,27,23,A,medio
Habilidad Matemática,"Un número es triple de 5 más 2:",17,15,20,18,A,medio
Habilidad Matemática,"Un auto viaja 80 km/h ¿cuánto recorre en 3h?",240km,200km,260km,180km,A,facil
Habilidad Matemática,"Un auto viaja 100 km/h ¿cuánto recorre en 4h?",400km,350km,450km,380km,A,facil
Habilidad Matemática,"Si hoy es martes ¿qué día será en 14 días?",martes,miércoles,jueves,viernes,A,medio
Habilidad Matemática,"Si hoy es domingo ¿qué día será en 28 días?",domingo,lunes,martes,miércoles,A,medio
Habilidad Matemática,"Si compras 6 lápices de $10 ¿cuánto pagas?",60,50,70,80,A,facil
Habilidad Matemática,"Si compras 4 libros de $30 ¿cuánto pagas?",120,100,110,140,A,facil
Habilidad Matemática,"Si 8 personas hacen 8 tareas en 8 horas ¿cuántas hacen 16 tareas en 8 horas?",8,16,4,24,A,dificil
Habilidad Matemática,"Si 6+6×6=?",72,42,36,12,B,medio
Habilidad Matemática,"Si 4 personas hacen 4 tareas en 4 horas ¿cuántas hacen 8 tareas en 4 horas?",4,8,16,2,A,dificil
Habilidad Matemática,"Si 3+3×3=?",18,12,9,6,B,medio
Habilidad Matemática,"Serie: 9,18,36,72,_?",90,108,144,120,C,medio
Habilidad Matemática,"Serie: 7,14,28,56,_?",84,100,112,120,C,medio
Habilidad Matemática,"Serie: 6,12,24,48,_?",72,96,84,100,B,medio
Habilidad Matemática,"Serie: 5,10,20,40,_?",60,80,100,120,B,medio
Habilidad Matemática,"Serie: 4,8,16,32,_?",48,64,60,72,B,medio
Habilidad Matemática,"Serie: 3,6,12,24,_?",36,40,48,60,C,medio
Habilidad Matemática,"Serie: 2,4,8,16,_?",24,32,20,18,B,medio
Habilidad Matemática,"Serie: 1,1,2,3,5,_?",7,8,9,10,B,medio
