"Habilidad Verbal","Analogía: Raíz es a árbol como cimiento es a:","casa","puerta","ventana","techo","A","medio"
"Habilidad Verbal","Sinónimo de 'preciso':","exacto","confuso","lento","variable","A","medio"
"Habilidad Verbal","Antónimo de 'expandir':","ampliar","reducir","extender","propagar","B","medio"
"Habilidad Verbal","Palabra intrusa: océano, río, lago, montaña:","océano","río","lago","montaña","D","facil"
"Habilidad Verbal","Completa la secuencia lógica: huevo, pollito, gallina, :","granja","pluma","nido","huevo","D","dificil"
"Habilidad Verbal","Relación: Termómetro es a temperatura como balanza es a:","peso","altura","volumen","densidad","A","medio"
"Habilidad Verbal","Significado de 'ambiguo':","claro","dudoso","preciso","evidente","B","medio"
"Habilidad Verbal","Orden lógico: observación, hipótesis, experimento, conclusión:","observación-hipótesis-experimento-conclusión","hipótesis-observación-experimento-conclusión","experimento-observación-hipótesis-conclusión","observación-experimento-hipótesis-conclusión","A","dificil"
"Habilidad Verbal","Sinónimo de 'mitigar':","agravar","disminuir","aumentar","alterar","B","dificil"
"Habilidad Verbal","Antónimo de 'superficial':","leve","profundo","externo","simple","B","medio"
"Habilidad Matemática","Serie: 1, 4, 9, 16, ?","20","24","25","36","C","medio"
"Habilidad Matemática","Si 3 obreros hacen 3 casas en 3 meses, ¿cuántos hacen 6 casas en 3 meses?","3","6","9","2","A","dificil"
"Habilidad Matemática","Un tren recorre 150 km en 3 horas. ¿Velocidad?","30 km/h","40 km/h","50 km/h","60 km/h","C","medio"
"Habilidad Matemática","Si 8 × (2 + 3) = ?","40","30","32","48","A","medio"
"Habilidad Matemática","Un número es la mitad de 50 más 5:","25","30","35","20","B","medio"
"Habilidad Matemática","Serie: 2, 6, 18, 54, ?","108","162","216","324","B","medio"
"Habilidad Matemática","Si compras 7 libros de $15, ¿cuánto pagas?","95","100","105","110","C","facil"
"Habilidad Matemática","Si hoy es miércoles, ¿qué día será en 9 días?","jueves","viernes","sábado","domingo","B","medio"
"Habilidad Matemática","Área de cuadrado lado 9:","72","81","90","99","B","facil"
"Habilidad Matemática","Si 100 es el 40% de un número, ¿cuál es el número?","200","250","300","400","B","dificil"
"Español","¿Cuál es una oración compuesta?","María canta y Pedro baila","El sol brilla","Corre rápido","El perro","A","medio"
"Español","Sinónimo de 'eficiente':","inepto","eficaz","lento","torpe","B","medio"
"Español","Antónimo de 'optimista':","negativo","alegre","seguro","positivo","A","medio"
"Español","¿Qué es un sustantivo abstracto?","mesa","amor","perro","rojo","B","medio"
"Español","Las palabras graves llevan tilde cuando:","terminan en n o s","terminan en vocal","no terminan en n, s o vocal","siempre","C","medio"
"Español","¿Qué es un texto argumentativo?","narra hechos","explica instrucciones","defiende postura","describe objeto","C","medio"
"Español","Plural de 'crisis':","crisis","crisises","crises","crísis","A","medio"
"Español","Función del punto y coma:","separar ideas relacionadas","terminar texto","indicar pregunta","indicar exclamación","A","medio"
"Español","¿Qué es una metáfora?","comparación con 'como'","comparación directa","exageración","repetición","B","medio"
"Español","¿Cuál es un adjetivo calificativo?","correr","alto","mesa","ayer","B","facil"
"Historia","¿Qué documento proclamó el Plan de Ayala?","Zapata","Madero","Juárez","Hidalgo","A","medio"
