"Habilidad Verbal","Analogía: Legislador es a ley como juez es a:","sentencia","código","tribunal","constitución","A","dificil"
"Habilidad Verbal","Sinónimo de 'paradójico':","contradictorio","lógico","coherente","evidente","A","dificil"
"Habilidad Verbal","Antónimo de 'efímero':","temporal","breve","permanente","instantáneo","C","medio"
"Habilidad Verbal","Palabra intrusa: átomo, molécula, célula, electrón:","átomo","molécula","célula","electrón","C","dificil"
"Habilidad Verbal","Relación: Fotosíntesis es a planta como digestión es a:","animal","oxígeno","clorofila","energía","A","medio"
"Habilidad Verbal","Significado de 'inherente':","inseparable","opcional","externo","temporal","A","medio"
"Habilidad Verbal","Analogía: Constitución es a Estado como reglamento es a:","institución","ciudad","persona","país","A","medio"
"Habilidad Verbal","Sinónimo de 'ambiguo':","confuso","exacto","claro","preciso","A","medio"
"Habilidad Verbal","Antónimo de 'inminente':","cercano","inmediato","lejano","urgente","C","medio"
"Habilidad Verbal","Significado de 'mitigar':","disminuir","agravar","aumentar","ignorar","A","medio"
"Habilidad Matemática","Serie: 3, 7, 15, 31, ?","47","63","62","64","B","dificil"
"Habilidad Matemática","Si 5 máquinas producen 5 piezas en 5 minutos, ¿cuántas producen 100 máquinas en 100 minutos?","100","500","1000","2000","C","dificil"
"Habilidad Matemática","Si 2x + 3y = 12 y x = 3, entonces y = ?","1","2","3","4","B","medio"
"Habilidad Matemática","Un reloj se adelanta 5 min cada hora, ¿cuánto se adelanta en 24 horas?","60","90","120","150","C","dificil"
"Habilidad Matemática","Si el 25% de x es 50, entonces x = ?","100","150","200","250","C","medio"
"Habilidad Matemática","Promedio de 4, 8, 12, 16:","8","10","12","14","B","medio"
"Habilidad Matemática","Área de triángulo base 12 y altura 7:","42","84","36","24","A","medio"
"Habilidad Matemática","Perímetro de círculo radio 10 (π≈3.14):","31.4","62.8","78.5","100","B","medio"
"Habilidad Matemática","Si 3 obreros hacen 3 casas en 3 meses, ¿cuántos hacen 6 casas en 3 meses?","3","6","9","2","A","dificil"
"Habilidad Matemática","Serie: 5, 10, 20, 40, 80, ?","120","140","160","180","C","medio"
"Matemáticas","Resuelve: 2x² = 50","x=5","x=±5","x=±25","x=25","B","dificil"
"Matemáticas","Factoriza: x² - 16","(x-4)(x+4)","(x-8)(x+2)","(x-2)(x+8)","(x-16)²","A","medio"
"Matemáticas","Derivada de x³:","3x²","x²","2x","3x","A","dificil"
"Matemáticas","Si log10(100)= ?","1","2","10","100","B","medio"
"Matemáticas","Pendiente entre (1,2) y (3,6):","1","2","3","4","B","medio"
"Matemáticas","Si cos(0°)= ?","0","1","-1","0.5","B","medio"
"Matemáticas","Resuelve: 3x - 7 = 2","1","2","3","4","C","medio"
"Matemáticas","Área de círculo radio 7 (π≈3.14):","153.86","49","21.98","98","A","medio"
"Matemáticas","Si 2^3 * 2^2 = ?","32","16","64","8","A","medio"
"Matemáticas","Solución de x²=49:","7","-7","±7","0","C","medio"
"Matemáticas","Si 5! = ?","25","60","120","720","C","medio"
"Matemáticas","Valor de seno 90°:","0","1","-1","0.5","B","medio"
"Matemáticas","Resuelve: (3/4)+(5/8)","1 3/8","1 1/8","1 5/8","1","A","medio"
"Matemáticas","Media de 10, 20, 30:","15","20","25","30","B","facil"
"Matemáticas","Si f(x)=2x+1, f(3)=?","5","6","7","8","C","medio"
"Física","Energía cinética fórmula:","1/2 mv²","mv","mgh","F=ma","A","medio"
"Física","Unidad de fuerza en SI:","Newton","Joule","Watt","Pascal","A","facil"
"Física","Aceleración gravedad aproximada:","8.9 m/s²","9.8 m/s²","10.8 m/s²","9.0 m/s²","B","medio"
"Física","Ley F=ma corresponde a:","1ra","2da","3ra","4ta","B","medio"
"Física","Trabajo mecánico unidad:","Joule","Newton","Watt","Ohm","A","medio"
"Física","Velocidad es vector porque tiene:","dirección","masa","tiempo","energía","A","medio"
"Física","Potencia es:","trabajo/tiempo","fuerza/tiempo","masa*velocidad","energía/masa","A","medio"
"Física","Ohm establece V=IR. I significa:","corriente","voltaje","resistencia","potencia","A","medio"
"Física","Luz es onda:","electromagnética","mecánica","sonora","térmica","A","medio"
"Física","Si F=10N y m=2kg, a=?","5","2","8","20","A","medio"
"Física","Frecuencia unidad:","Hertz","Joule","Watt","Newton","A","medio"
"Física","Presión fórmula:","F/A","A/F","m/v","v/m","A","medio"
"Física","Energía se conserva según ley de:","conservación","inercia","acción","relatividad","A","medio"
"Física","Trabajo negativo ocurre cuando:","fuerza opuesta","fuerza igual","masa cero","velocidad cero","A","dificil"
"Física","Energía potencial depende de:","masa y altura","tiempo","volumen","color","A","medio"
"Química","Número atómico define:","protones","neutrones","masa","carga","A","medio"
"Química","pH ácido es:","<7",">7","=7","14","A","medio"
"Química","Enlace iónico implica:","transferencia de electrones","compartir electrones","neutrones","protones","A","medio"
"Química","Gas noble ejemplo:","Neón","Cloro","Sodio","Calcio","A","medio"
"Química","Reacción exotérmica libera:","calor","frío","agua","oxígeno","A","medio"
"Química","Molécula de agua tiene fórmula:","H2O","HO2","H3O","O2H","A","facil"
"Química","Electrón tiene carga:","negativa","positiva","neutra","variable","A","facil"
"Química","Ley conservación masa propuesta por:","Lavoisier","Bohr","Newton","Einstein","A","medio"
"Química","Base fuerte ejemplo:","NaOH","HCl","CO2","NH3","A","medio"
"Química","Isótopos difieren en:","neutrones","protones","electrones","masa molar","A","medio"
"Química","Enlace covalente comparte:","electrones","protones","neutrones","iones","A","medio"
"Química","Compuesto orgánico contiene:","carbono","helio","oro","plata","A","medio"
"Química","Oxidación implica:","pérdida electrones","ganancia electrones","ganancia protones","pérdida neutrones","A","dificil"
"Química","Reducción implica:","ganancia electrones","pérdida electrones","ganancia protones","pérdida masa","A","dificil"
"Química","Unidad mol mide:","cantidad sustancia","masa","volumen","densidad","A","medio"
